# source: http://meta.wikimedia.org/wiki/Wikimedia_India/Languages
as	Assamese
bh	Bhojpuri
bh	Bhojpuri
bn	Bengali
bpy	Bishnupriya Manipuri
#dv-Mahal	Mahal
gu	Gujarati
hi	Hindi
kn	Kannada
#kok	Konkani
ks	Kashmiri
ml	Malayalam
mr	Marathi
ne	Nepali
new	Nepal Bhasa
new	Newari
or	Oriya
pa	Punjabi
pi	Pali
rmy	Romani
sa	Sanskrit
sd	Sindhi
ta	Tamil
te	Telugu
ur	Urdu
